,title,author,total words,vividness,passive voice,all adverbs,ly-adverbs,non-ly-adverbs,genre,year
0,The Vanished Birds,Simon Jimenez,124205.0,55.18,6.37,1.95,0.36,1.58,"['Science Fiction', 'Fiction', 'Fantasy', 'Queer', 'LGBT', 'Adult', 'Time Travel']",2020.0
1,The Price of Honor,Jonathan P. Brazee,77253.0,35.35,8.71,2.63,0.71,1.92,['Science Fiction'],2017.0
2,The Case of the Baker Street Irregulars,Anthony Boucher,80557.0,32.33,8.41,3.72,1.64,2.08,"['Mystery', 'Fiction', 'Crime', 'Humor', 'Classics', '20th Century', 'Detective']",1940.0
3,Wildoak,C. C. Harrington,55602.0,74.34,6.92,3.04,1.16,1.87,"['Middle Grade', 'Historical Fiction', 'Fiction', 'Animals', 'Childrens', 'Nature', 'Young Adult']",2022.0
4,The Holiday,T. M. Logan,101767.0,50.3,8.02,3.06,1.12,1.93,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Crime', 'Audiobook', 'Suspense']",2019.0
5,Fab: An Intimate Life of Paul McCartney,Howard Sounes,225785.0,39.24,6.52,3.03,1.2,1.83,"['Biography', 'Music', 'Nonfiction', 'History', 'Autobiography', 'Musicians', 'British Literature']",2010.0
6,Honest illusions,Nora Roberts,163279.0,55.45,8.31,2.72,0.95,1.77,"['Romance', 'Contemporary Romance', 'Romantic Suspense', 'Contemporary', 'Fiction', 'Mystery', 'Suspense']",1992.0
7,Fifth Business,Robertson Davies,103691.0,29.82,8.8,3.46,1.12,2.34,"['Fiction', 'Canada', 'Classics', 'Historical Fiction', 'Literature', 'Literary Fiction', 'Novels']",1970.0
8,Spy Above the Clouds,Ciji Ware,161061.0,47.38,6.98,3.32,1.35,1.97,['Historical Fiction'],2021.0
9,If Then,Jill Lepore,109677.0,27.46,5.77,2.16,0.77,1.39,"['History', 'Nonfiction', 'Business', 'Politics', 'Technology', 'Science', 'Audiobook']",2020.0
10,The Hardy Boys: The Demon's Den,Franklin W. Dixon,33745.0,48.64,7.8,3.04,1.09,1.95,"['Mystery', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Classics']",1984.0
11,How Lulu Lost Her Mind,Rachel Gibson,83425.0,61.79,7.97,2.2,0.69,1.51,"['Fiction', 'Chick Lit', 'Romance', 'Contemporary', 'Humor', 'Adult', 'Audiobook']",2020.0
12,Ghost Shadow,Heather Graham,92810.0,36.74,10.05,3.2,1.16,2.04,"['Paranormal', 'Mystery', 'Romance', 'Suspense', 'Paranormal Romance', 'Ghosts', 'Fantasy']",2010.0
13,Since We Fell,Dennis Lehane,114738.0,48.64,7.5,2.61,0.74,1.87,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Crime']",2017.0
14,Sooner Later Everything Falls Into the Sea,Sarah Pinsker,96057.0,47.61,8.39,2.55,0.62,1.93,"['Short Stories', 'Science Fiction', 'Fantasy', 'Fiction', 'LGBT', 'Speculative Fiction', 'Anthologies']",2019.0
15,The Sandpit,Nicholas Shakespeare,92098.0,53.82,7.96,2.39,0.82,1.58,"['Fiction', 'Thriller', 'Espionage', 'Literary Fiction', 'Mystery', 'Contemporary', 'Crime']",2020.0
16,The Black Key,Amy Ewing,73743.0,65.95,7.95,2.91,0.96,1.94,"['Fantasy', 'Young Adult', 'Dystopia', 'Romance', 'Fiction', 'Magic', 'Science Fiction']",2016.0
17,Mrs. Lincoln's Sisters,Jennifer Chiaverini,103501.0,32.66,7.06,3.68,1.63,2.05,"['Historical Fiction', 'Fiction', 'Civil War', 'Historical', 'Audiobook', 'American History', 'Adult']",2020.0
18,A Million Little Pieces,James Frey,167120.0,47.99,8.58,1.58,0.45,1.13,"['Fiction', 'Contemporary', 'Psychology', 'Biography Memoir', 'Mental Health', 'Adult', 'Book Club']",2003.0
19,"The FBI, A History",Rhodri Jeffreys-Jones,104688.0,19.58,5.27,2.14,0.86,1.28,"['Nonfiction', 'History', 'Crime', 'American History']",2007.0
20,Contagion,Robin Cook,133456.0,36.27,9.48,2.98,1.3,1.68,"['Fiction', 'Thriller', 'Mystery', 'Medical', 'Suspense', 'Mystery Thriller', 'Science Fiction']",1992.0
21,Miss Julia Happily Ever After,Ann B. Ross,91088.0,28.99,9.99,3.73,0.96,2.77,"['Fiction', 'Mystery', 'Humor', 'Cozy Mystery', 'Contemporary', 'Romance', 'Adult Fiction']",2021.0
22,Checking Out Crime,Laurie Cass,86320.0,40.64,9.44,3.29,1.12,2.17,"['Mystery', 'Cozy Mystery', 'Fiction', 'Animals', 'Cats', 'Audiobook', 'Books About Books']",2021.0
23,Henry Huggins,Beverly Cleary,22263.0,62.74,7.73,2.41,0.54,1.87,"['Childrens', 'Fiction', 'Middle Grade', 'Realistic Fiction', 'Classics', 'Chapter Books', 'Young Adult']",1953.0
24,Glitter Bomb,Laura Childs & Terrie Farley Moran,75736.0,62.24,7.68,3.29,1.31,1.98,"['Mystery', 'Cozy Mystery', 'Fiction', 'Adult', 'Southern', 'Audiobook', 'Crafts']",2018.0
25,Dare to Remember,Susanna Beard,77691.0,50.12,8.68,3.13,1.02,2.1,"['Fiction', 'Thriller', 'Mystery', 'Psychological Thriller', 'Mystery Thriller', 'Crime', 'Adult']",2017.0
26,Feedback,Mira Grant,149433.0,39.28,10.07,2.93,1.15,1.78,"['Horror', 'Zombies', 'Science Fiction', 'Fiction', 'Dystopia', 'Post Apocalyptic', 'Fantasy']",2016.0
27,The Mermaid and Mrs. Hancock,Imogen Hermes Gowar,139646.0,60.02,7.78,3.15,0.92,2.24,"['Historical Fiction', 'Fiction', 'Fantasy', 'Magical Realism', 'Historical', 'Mermaids', 'Audiobook']",2018.0
28,Henry V,William Shakespeare,27129.0,37.81,6.38,3.07,0.55,2.51,"['Classics', 'Plays', 'Drama', 'Fiction', 'Historical Fiction', 'Theatre', 'Literature']",1599.0
29,How to Change,Katy Milkman,53409.0,26.54,6.85,3.27,1.48,1.8,"['Nonfiction', 'Psychology', 'Self Help', 'Personal Development', 'Business', 'Science', 'Audiobook']",2021.0
30,The Last Stage,Louise Voss,98570.0,52.76,8.9,3.55,1.39,2.17,"['Thriller', 'Mystery', 'Fiction', 'Crime', 'Drama', 'Mystery Thriller']",2019.0
31,The Measure,Nikki Erlick,99412.0,35.46,7.83,3.74,1.58,2.17,"['Fiction', 'Science Fiction', 'Audiobook', 'Fantasy', 'Dystopia', 'Adult', 'Contemporary']",2022.0
32,Blue Gold,David Barker,95590.0,55.15,6.49,2.5,0.83,1.66,"['Thriller', 'Science Fiction', 'Fiction']",2017.0
33,Vessel,Lisa A. Nichols,93024.0,31.87,10.06,2.99,0.91,2.08,"['Science Fiction', 'Fiction', 'Thriller', 'Mystery', 'Space', 'Audiobook', 'Science Fiction Fantasy']",2019.0
34,Termination Shock,Neal Stephenson,241416.0,49.79,8.01,3.12,1.22,1.9,"['Science Fiction', 'Fiction', 'Thriller', 'Climate Change', 'Speculative Fiction', 'Audiobook', 'Dystopia']",2021.0
35,Close to the Cradle,Nova Lee Maier,76999.0,49.47,9.02,3.56,1.51,2.05,"['Thriller', 'Mystery Thriller', 'Mystery']",2019.0
36,Never Pay the First Bill,Marshall Allen,62641.0,16.2,7.91,2.31,0.64,1.67,"['Nonfiction', 'Finance', 'Health', 'Health Care', 'Adult', 'Economics', 'Medicine']",2021.0
37,Eden Mine,S. M. Hulse,84164.0,52.23,8.27,3.13,0.99,2.14,"['Fiction', 'Literary Fiction', 'Contemporary', 'Adult', 'Christian', 'Westerns', 'Terrorism']",2020.0
38,Winds of Strife,U. G. Gutman,141269.0,58.82,5.82,2.58,0.76,1.82,"['Fantasy', 'Adult', 'High Fantasy', 'Dark Fantasy', 'Dark', 'Magic']",2020.0
39,Vladimir,Julia May Jonas,80985.0,48.08,7.52,2.82,1.07,1.75,"['Fiction', 'Contemporary', 'Literary Fiction', 'Romance', 'Audiobook', 'Adult', 'Academia']",2022.0
40,Perdition,R. Jean Reid,99267.0,31.26,9.31,3.16,1.13,2.03,"['Mystery', 'Thriller', 'Adult']",2017.0
41,When Through Deep Waters,Rachelle Dekker,86776.0,48.44,7.83,2.5,0.94,1.56,"['Christian Fiction', 'Mystery', 'Fiction', 'Christian', 'Audiobook', 'Science Fiction', 'Contemporary']",2018.0
42,Just After Sunset,Stephen King,132036.0,51.78,8.29,3.02,0.96,2.06,"['Horror', 'Short Stories', 'Fiction', 'Thriller', 'Fantasy', 'Anthologies', 'Supernatural']",2008.0
43,The Georges and the Jewels,Jane Smiley,60955.0,46.06,8.48,3.37,0.65,2.72,"['Horses', 'Animals', 'Fiction', 'Young Adult', 'Realistic Fiction', 'Historical Fiction', 'Childrens']",2009.0
44,Trust No One,Anthony Mosawi,72884.0,60.86,6.26,2.13,0.76,1.36,"['Thriller', 'Mystery', 'Fiction', 'Crime', 'Audiobook']",2018.0
45,Kings Rising,C. S. Pacat,77743.0,49.08,7.61,2.26,0.86,1.4,"['Fantasy', 'LGBT', 'Romance', 'M M Romance', 'Adult', 'Fiction', 'Queer']",2016.0
46,Ignite Me,Tahereh Mafi,87071.0,39.38,9.55,4.02,1.32,2.69,"['Dystopia', 'Fantasy', 'Young Adult', 'Romance', 'Science Fiction', 'Fiction', 'Paranormal']",2014.0
47,Michelle,Ayala Yoked,75479.0,39.95,7.78,2.66,1.05,1.61,['Romance'],2018.0
48,Luna Rising,Sloane Murphy,90747.0,44.22,8.58,3.5,1.36,2.14,"['Paranormal', 'Shapeshifters', 'Fantasy', 'Werewolves']",2021.0
49,The Hardy Boys: Danger On Vampire Trail,Franklin W. Dixon,32114.0,58.99,6.84,2.66,0.99,1.67,"['Mystery', 'Fiction', 'Young Adult', 'Childrens', 'Classics', 'Adventure', 'Mystery Thriller']",1971.0
50,The Contingency,G. J. Ogden,57574.0,41.48,7.64,3.75,1.54,2.21,['Science Fiction'],2020.0
51,All the Women in My Brain,Betty Gilpin,68799.0,52.29,7.3,3.16,1.07,2.09,"['Nonfiction', 'Essays', 'Memoir', 'Audiobook', 'Feminism', 'Humor', 'Biography']",2022.0
52,Dead Man Switch,Matthew Quirk,71165.0,48.9,7.6,2.11,0.5,1.6,"['Thriller', 'Fiction', 'Action', 'Military Fiction', 'Audiobook', 'Suspense', 'Spy Thriller']",2017.0
53,Robur the Conqueror,Jules Verne,17580.0,42.78,8.63,2.71,0.86,1.85,"['Science Fiction', 'Classics', 'Fiction', 'Adventure', 'France', 'Literature', 'French Literature']",1886.0
54,If You Knew Her,Emily Elgar,100362.0,56.8,7.66,2.99,1.04,1.95,"['Mystery', 'Thriller', 'Fiction', 'Suspense', 'Mystery Thriller', 'Audiobook', 'Psychological Thriller']",2017.0
55,Greenwood,Michael Christie,139565.0,67.9,6.34,3.18,1.18,2.0,"['Fiction', 'Historical Fiction', 'Canada', 'Nature', 'Literary Fiction', 'Historical', 'Contemporary']",2019.0
56,A Mrs. Miracle Christmas,Debbie Macomber,46408.0,38.01,9.49,3.03,1.16,1.86,"['Christmas', 'Fiction', 'Romance', 'Holiday', 'Audiobook', 'Contemporary', 'Chick Lit']",2019.0
57,Kingdom of Souls,Rena Barron,131021.0,60.16,7.01,2.01,0.18,1.83,"['Fantasy', 'Young Adult', 'Young Adult Fantasy', 'Fiction', 'Magic', 'Mythology', 'Witches']",2019.0
58,Bonnie Jack,Ian Hamilton,65617.0,30.22,10.61,3.09,0.87,2.22,"['Crime', 'Canada', 'Fiction']",2021.0
59,Jane Doe,Victoria Helen Stone,72454.0,46.91,9.36,3.31,1.13,2.18,"['Thriller', 'Fiction', 'Mystery', 'Mystery Thriller', 'Contemporary', 'Suspense', 'Audiobook']",2018.0
60,Freed,E. L. James,229120.0,56.12,8.04,2.41,0.74,1.67,"['Romance', 'Erotica', 'Fiction', 'BDSM', 'Adult', 'Contemporary', 'Contemporary Romance']",2012.0
61,Year One,Nora Roberts,115412.0,54.58,8.09,2.27,0.56,1.71,"['Fantasy', 'Fiction', 'Dystopia', 'Romance', 'Paranormal', 'Urban Fantasy', 'Post Apocalyptic']",2017.0
62,The Book of Judges,Traci Tyne Hilton,83836.0,36.65,9.65,2.57,0.77,1.8,['Mystery'],2018.0
63,Only Girl Alive,Holly S. Roberts,73889.0,38.09,8.68,2.41,1.01,1.4,"['Thriller', 'Mystery', 'Contemporary', 'Audiobook', 'Mystery Thriller']",2023.0
64,The Year Of The Jackpot,Robert A. Heinlein,12609.0,48.28,8.02,3.09,1.09,2.01,"['Science Fiction', 'Fiction', 'Short Stories', 'Science Fiction Fantasy', 'Fantasy', 'Classics']",1952.0
65,The System,Ryan Gattis,127563.0,37.64,8.74,3.14,0.47,2.67,"['Fiction', 'Crime', 'Thriller', 'Mystery', 'Mystery Thriller', 'Suspense', 'American']",2020.0
66,The Kinder Poison,Natalie Mae,109351.0,57.36,8.85,2.88,0.91,1.97,"['Fantasy', 'Young Adult', 'Romance', 'Young Adult Fantasy', 'Magic', 'High Fantasy', 'Fiction']",2020.0
67,Drop by Drop,Morgan Llywelyn,66326.0,50.34,8.89,2.41,0.78,1.63,"['Science Fiction', 'Dystopia', 'Fiction', 'Apocalyptic', 'Fantasy', 'Post Apocalyptic', 'Mystery']",2018.0
68,Slow Ride,Lorelei James,8518.0,55.2,7.28,3.44,1.13,2.31,"['Romance', 'Westerns', 'Erotica', 'Contemporary', 'Contemporary Romance', 'Erotic Romance', 'Western Romance']",2010.0
69,This Time Tomorrow,Emma Straub,82071.0,46.78,8.94,2.98,0.89,2.09,"['Fiction', 'Time Travel', 'Audiobook', 'Science Fiction', 'Contemporary', 'Fantasy', 'Adult']",2022.0
70,River of Fallen Angels,Laura Joh Rowland,95010.0,55.52,7.43,2.1,0.63,1.47,"['Historical Fiction', 'Mystery', 'Historical', 'Historical Mystery']",2023.0
71,Things You Save in a Fire,Katherine Center,92758.0,35.92,9.13,3.27,0.96,2.31,"['Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Audiobook', 'Adult', 'Contemporary Romance']",2019.0
72,The Stranger Game,Peter Gadol,58083.0,44.0,8.89,3.39,0.86,2.53,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Mystery Thriller', 'Crime', 'Audiobook']",2018.0
73,Crossroads of Twilight,Robert Jordan,264669.0,55.94,7.99,3.31,1.26,2.05,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic']",2003.0
74,A Tyranny of Queens,Foz Meadows,115252.0,45.76,7.64,3.62,1.48,2.14,"['Fantasy', 'Queer', 'LGBT', 'Fiction', 'Young Adult', 'Dragons', 'Magic']",2017.0
75,If You Tell,Gregg Olsen,98006.0,32.6,9.41,2.84,0.86,1.98,"['True Crime', 'Nonfiction', 'Crime', 'Audiobook', 'Mystery', 'Thriller', 'Horror']",2019.0
76,City of the Dead,S. D. Perry,79303.0,60.76,7.78,2.66,1.16,1.5,"['Horror', 'Zombies', 'Fiction', 'Science Fiction', 'Video Games', 'Fantasy', 'Action']",1999.0
77,Absolute Proof,Peter James,155757.0,45.62,8.06,3.19,1.19,2.0,"['Thriller', 'Fiction', 'Crime', 'Mystery', 'Suspense', 'Adventure', 'Audiobook']",2019.0
78,Island Life Sentence,Carrie Jo Howe,54483.0,78.63,6.11,2.2,0.67,1.53,"['Fiction', 'Chick Lit']",2018.0
79,A Secret Life,Christobel Kent,88555.0,54.56,8.94,2.97,0.9,2.07,"['Thriller', 'Psychological Thriller', 'Mystery', 'Fiction']",2019.0
80,Agent in Place,Mark Greaney,169129.0,40.54,7.14,2.61,0.78,1.83,"['Thriller', 'Fiction', 'Espionage', 'Action', 'Audiobook', 'Mystery Thriller', 'Suspense']",2018.0
81,The Leaving Party,Lesley Sanderson,63548.0,53.19,9.76,2.62,0.74,1.88,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Audiobook', 'British Literature', 'Suspense']",2020.0
82,Spell for Chameleon,Piers Anthony,111300.0,46.51,9.58,4.25,1.79,2.45,"['Fantasy', 'Fiction', 'Humor', 'Science Fiction Fantasy', 'Young Adult', 'Magic', 'Science Fiction']",1977.0
83,Liquid Crystal Nightingale,Eeleen Lee,76762.0,60.72,5.73,2.09,0.59,1.5,"['Science Fiction', 'Space Opera', 'Fiction']",2020.0
84,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,25648.0,35.93,7.2,3.49,1.08,2.41,"['Classics', 'Horror', 'Fiction', 'Gothic', 'Science Fiction', 'Short Stories', 'Fantasy']",1886.0
85,The Generals Have No Clothes,William M. Arkin,51366.0,23.41,6.22,3.26,1.28,1.97,"['History', 'Politics', 'War', 'Nonfiction']",2021.0
86,The Disappearance of Sloane Sullivan,Gia Cribbs,102146.0,44.81,7.84,2.69,0.87,1.83,"['Young Adult', 'Mystery', 'Thriller', 'Romance', 'Mystery Thriller', 'Contemporary', 'Fiction']",2018.0
87,The Burning Girls,C. J. Tudor,91223.0,60.09,8.44,3.33,1.25,2.08,"['Thriller', 'Horror', 'Mystery', 'Fiction', 'Mystery Thriller', 'Adult', 'Audiobook']",2021.0
88,The Iron Heel,Jack London,86558.0,30.99,8.09,2.77,1.02,1.75,"['Fiction', 'Dystopia', 'Classics', 'Science Fiction', 'Politics', 'Literature', 'Novels']",1908.0
89,Giovanni's Room,James Baldwin,55145.0,39.25,9.08,4.0,1.21,2.79,"['Classics', 'Fiction', 'LGBT', 'Queer', 'Romance', 'Gay', 'Novels']",1956.0
90,The Girls in the Snow,Stacy Green,88454.0,38.39,9.34,2.56,0.93,1.63,"['Mystery', 'Thriller', 'Crime', 'Fiction', 'Mystery Thriller', 'Suspense', 'Audiobook']",2020.0
91,Beach Lawyer,Avery Duff,100106.0,42.24,6.48,2.55,0.43,2.12,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Suspense', 'Legal Thriller', 'Amazon']",2017.0
92,The Christmas Star,Donna VanLiere,43711.0,51.1,7.99,2.33,0.52,1.81,"['Christmas', 'Romance', 'Fiction', 'Holiday', 'Contemporary', 'Audiobook', 'Christian Fiction']",2018.0
93,Highway of Tears,Jessica McDiarmid,88764.0,31.92,6.86,2.3,0.79,1.51,"['Nonfiction', 'True Crime', 'History', 'Canada', 'Crime', 'Audiobook', 'Race']",2019.0
94,Gods and Men,Christopher Hopper,112389.0,49.25,7.0,2.81,0.68,2.13,"['Science Fiction', 'Fiction', 'Audiobook', 'Aliens']",2020.0
95,Breathless,Dean Koontz,75685.0,60.49,6.82,2.53,0.92,1.61,"['Fiction', 'Horror', 'Thriller', 'Suspense', 'Mystery', 'Fantasy', 'Science Fiction']",2009.0
96,Cryptid Quest,Anthony M. Strong,71021.0,49.26,7.98,2.74,0.73,2.01,"['Horror', 'Adventure', 'Monsters']",2021.0
97,The Foundling,Ann Leary,108228.0,40.94,8.88,3.47,0.94,2.53,"['Historical Fiction', 'Fiction', 'Historical', 'Mystery', 'Thriller', 'Adult', 'Mystery Thriller']",2022.0
98,Ashes to Ashes,Paul Finch,130012.0,50.41,8.49,3.71,1.57,2.13,"['Crime', 'Mystery', 'Thriller', 'Fiction', 'Detective', 'Mystery Thriller', 'Audiobook']",2017.0
99,Black Beauty,Anna Sewell,59790.0,41.69,8.9,3.86,0.66,3.2,"['Classics', 'Fiction', 'Childrens', 'Animals', 'Young Adult', 'Horses', 'Historical Fiction']",1877.0
100,Reading Jackie,William Kuhn,105571.0,27.51,6.82,2.5,0.84,1.66,"['Biography', 'Nonfiction', 'History', 'Books About Books', 'Biography Memoir', 'Womens', 'Audiobook']",2010.0
101,Finger Collector,Thomas H. Ward,51949.0,41.26,8.56,2.74,0.69,2.05,['Thriller'],2017.0
102,Modern Romance,Aziz Ansari & Eric Klinenberg,69033.0,24.5,7.87,3.55,1.46,2.09,"['Nonfiction', 'Humor', 'Audiobook', 'Romance', 'Comedy', 'Sociology', 'Psychology']",2015.0
103,Tastes Like Fear,Sarah Hilary,100588.0,47.27,9.7,2.04,0.45,1.58,"['Crime', 'Mystery', 'Thriller', 'Fiction', 'Detective', 'Mystery Thriller', 'Audiobook']",2016.0
104,The Paradise Affair,Bill Pronzini,48913.0,54.75,7.75,2.9,1.05,1.85,"['Mystery', 'Historical Mystery', 'Historical']",2021.0
105,Both/And,Huma Abedin,183168.0,31.21,7.59,2.98,1.02,1.95,"['Memoir', 'Nonfiction', 'Politics', 'Biography', 'Audiobook', 'Biography Memoir', 'History']",2021.0
106,Inheritors,Asako Serizawa,70863.0,55.34,6.88,2.68,0.85,1.83,"['Fiction', 'Short Stories', 'Historical Fiction', 'Japan', 'Literary Fiction', 'Asia', 'Historical']",2020.0
107,Infinite Possibilities,Mike Dooley,87854.0,19.57,9.66,4.38,1.83,2.56,"['Self Help', 'Nonfiction', 'Spirituality', 'Personal Development', 'Psychology', 'Inspirational', 'Philosophy']",2001.0
108,Team of Teams,Stanley McChrystal,88822.0,31.3,6.09,2.75,1.36,1.38,"['Business', 'Leadership', 'Nonfiction', 'Management', 'Military Fiction', 'Self Help', 'History']",2015.0
109,Revolutions: A Very Short Introduction,Jack A. Goldstone,37709.0,21.15,4.28,2.73,1.1,1.63,"['History', 'Politics', 'Nonfiction', 'World History', 'History and Politics', 'Historical', 'Philosophy']",2012.0
110,Here Goes Nothing,Steve Toltz,88318.0,48.26,8.33,3.13,1.21,1.92,"['Fiction', 'Humor', 'Literary Fiction', 'Contemporary', 'Fantasy', 'Australia', 'Literature']",2022.0
111,Making Contact,Alan Steinfeld,82479.0,27.31,8.01,2.8,1.06,1.74,"['Nonfiction', 'Paranormal']",2021.0
112,The Lies We Tell,Debra Webb,83583.0,35.47,9.6,2.8,0.98,1.82,"['Mystery', 'Thriller', 'Fiction', 'Suspense', 'Mystery Thriller', 'Crime', 'Adult']",2019.0
113,Shards of a Broken Crown,Raymond E. Feist,168281.0,41.64,7.96,2.62,0.81,1.82,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Epic', 'Magic']",1998.0
114,The Bright Lord,Alex Knowles,48986.0,33.08,9.87,3.13,0.83,2.29,"['Fantasy', 'Science Fiction']",2020.0
115,The Queen of the Night,Alexander Chee,185922.0,44.71,7.88,3.31,0.8,2.51,"['Fiction', 'Historical Fiction', 'Historical', 'Mystery', 'France', 'Music', 'Literary Fiction']",2016.0
116,Life Itself,Roger Ebert,145242.0,43.56,7.21,2.32,0.76,1.56,"['Nonfiction', 'Memoir', 'Biography', 'Film', 'Autobiography', 'Biography Memoir', 'Audiobook']",2011.0
117,Tides of the Titans,Thoraiya Dyer,107094.0,71.96,7.69,2.75,1.1,1.65,['Fantasy'],2019.0
118,"Girl, Under Oath",John Ellsworth,81513.0,27.88,9.14,3.04,0.74,2.3,"['Mystery', 'Fiction', 'Thriller']",2021.0
119,Capturing the Devil,Kerri Maniscalco,118212.0,50.84,8.08,3.35,1.4,1.95,"['Historical Fiction', 'Mystery', 'Young Adult', 'Romance', 'Historical', 'Fantasy', 'Thriller']",2019.0
120,Brave New Girl,Rachel Vincent,60991.0,56.83,8.4,3.22,1.08,2.14,"['Young Adult', 'Dystopia', 'Science Fiction', 'Romance', 'Fiction', 'Fantasy', 'Teen']",2017.0
121,"Joy, Inc.",Richard Sheridan,62590.0,20.83,7.71,3.1,1.2,1.9,"['Business', 'Leadership', 'Nonfiction', 'Management', 'Cultural', 'Buisness', 'Design']",2013.0
122,Comfort Zone,Stephen Bentley,34197.0,41.87,8.08,2.7,0.74,1.96,"['Thriller', 'Suspense', 'Crime']",2020.0
123,Neverwhere,Neil Gaiman,98352.0,61.11,6.98,3.43,1.37,2.06,"['Fantasy', 'Fiction', 'Urban Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Science Fiction', 'Horror']",1996.0
124,Who Is Vera Kelly,Rosalie Knecht,60289.0,56.18,7.73,2.42,0.79,1.63,"['Fiction', 'Historical Fiction', 'Mystery', 'LGBT', 'Historical', 'Queer', 'Thriller']",2018.0
125,Hostage to Fortune,Sarah Hawkswood,75033.0,38.56,8.62,3.34,1.05,2.29,"['Mystery', 'Historical Fiction', 'Historical', 'Fiction', 'Historical Mystery']",2019.0
126,The Protectors,Victor Kloss,84574.0,41.98,8.1,3.41,1.5,1.91,"['Fantasy', 'Young Adult', 'Magic', 'Fiction', 'Middle Grade', 'Audiobook', 'Mystery']",2016.0
127,You Are Mine,Diana Wilkinson,79231.0,57.77,7.67,2.51,1.07,1.43,"['Thriller', 'Psychological Thriller']",2020.0
128,"Three Sisters, Three Queens",Philippa Gregory,194442.0,35.32,9.07,2.65,0.87,1.78,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Tudor Period', 'Romance', 'British Literature']",2016.0
129,Girls of Salt and Sea,Natalia Macias Lucia,131328.0,71.49,6.18,2.71,1.21,1.49,"['Mystery', 'Adult', 'Romance']",2022.0
130,The Perfect Candidate,Peter Stone,78177.0,44.97,6.53,3.07,1.29,1.78,"['Mystery', 'Young Adult', 'Thriller', 'Fiction', 'Mystery Thriller', 'Politics', 'Realistic Fiction']",2018.0
131,Lover Eternal,J. R. Ward,126067.0,51.98,8.27,2.61,0.82,1.79,"['Romance', 'Paranormal', 'Vampires', 'Paranormal Romance', 'Fantasy', 'Urban Fantasy', 'Adult']",2006.0
132,How Angel Peterson Got His Name,Gary Paulsen,19324.0,54.77,7.45,3.18,1.05,2.13,"['Young Adult', 'Humor', 'Sports', 'Middle Grade', 'Teen', 'Short Stories', 'Fiction']",2003.0
133,The Daring Night,Robert McCracken,72390.0,44.11,8.13,3.01,1.02,1.99,['Crime'],2020.0
134,Letters of Emily Dickinson,Emily Dickinson,92182.0,41.0,8.59,3.77,0.73,3.04,"['Poetry', 'Nonfiction', 'Classics', 'Memoir', '19th Century']",1998.0
135,Followers,Megan Angelo,117009.0,59.66,7.35,2.81,0.96,1.85,"['Fiction', 'Science Fiction', 'Dystopia', 'Contemporary', 'Audiobook', 'Adult', 'Adult Fiction']",2020.0
136,White Women,Regina Jackson & Saira Rao,49809.0,40.65,8.47,3.05,1.09,1.96,"['Nonfiction', 'Social Justice', 'Race', 'Anti Racist', 'Feminism', 'Politics', 'Womens']",2022.0
137,Halting State,Charles Stross,107014.0,48.14,8.02,3.17,1.28,1.89,"['Science Fiction', 'Fiction', 'Cyberpunk', 'Mystery', 'Crime', 'Near Future', 'Scotland']",2011.0
138,Dream Country,Shannon Gibney,73779.0,45.89,6.96,3.53,1.25,2.28,"['Historical Fiction', 'Young Adult', 'Fiction', 'Historical', 'Africa', 'African American', 'Contemporary']",2018.0
139,Silent Weapon,Andy McNab,68331.0,44.51,8.4,3.08,1.05,2.02,"['Fiction', 'Adventure']",2017.0
140,Ashes of the Sun,Django Wexler,167631.0,56.53,7.15,2.77,1.27,1.5,"['Fantasy', 'Fiction', 'LGBT', 'Adult', 'Lesbian', 'Epic Fantasy', 'High Fantasy']",2020.0
141,A Dreadful Splendor,B. R. Myers,107457.0,50.94,7.91,2.85,1.0,1.85,"['Mystery', 'Historical Fiction', 'Gothic', 'Fiction', 'Romance', 'Fantasy', 'Historical']",2022.0
142,The Revenant and the Tomb,Herman P. Hunter,39661.0,75.33,3.8,2.29,1.0,1.28,['Fantasy'],2022.0
143,Sissy: A Coming-of-Gender Story,Jacob Tobia,98938.0,39.66,8.4,3.44,1.47,1.97,"['Nonfiction', 'Memoir', 'LGBT', 'Queer', 'Audiobook', 'Gender', 'Biography']",2019.0
144,The Scientists,John Gribbin,228781.0,32.61,5.67,2.98,1.26,1.72,"['Science', 'History', 'Nonfiction', 'History Of Science', 'Biography', 'Physics', 'Popular Science']",2002.0
